player,team_home,shot_type,situation,body_part,x,y,xg,minute
Hakan Çalhanoğlu,True,block,assisted,right-foot,24.7,49.7,0,86
Vlad Dragomir,False,miss,regular,left-foot,25.8,42.6,0,82
Nicolae Stanciu,False,post,corner,left-foot,8.7,72.3,0,77
Andrei Rațiu,False,block,corner,right-foot,18.9,50.5,0,77
Arda Güler,True,save,assisted,left-foot,16.3,28.6,0,72
İsmail Yüksek,True,miss,assisted,right-foot,28.4,58.7,0,63
Kenan Yıldız,True,post,assisted,right-foot,11.6,28.4,0,61
Hakan Çalhanoğlu,True,miss,corner,right-foot,4.9,26.0,0,59
Ferdi Kadıoğlu,True,miss,corner,right-foot,25.4,46.2,0,59
Arda Güler,True,block,assisted,left-foot,23.8,57.5,0,57
Hakan Çalhanoğlu,True,block,assisted,right-foot,25.6,64.4,0,57
Ianis Hagi,False,miss,assisted,left-foot,8.2,40.8,0,56
Ferdi Kadıoğlu,True,goal,assisted,right-foot,7.0,50.9,0,53
İsmail Yüksek,True,miss,assisted,right-foot,26.6,56.0,0,48
Hakan Çalhanoğlu,True,miss,corner,right-foot,23.8,44.0,0,36
Hakan Çalhanoğlu,True,block,corner,right-foot,18.2,55.0,0,34
Arda Güler,True,miss,assisted,left-foot,16.0,46.8,0,32
Arda Güler,True,miss,assisted,left-foot,26.2,52.3,0,28
Ianis Hagi,False,block,assisted,right-foot,14.0,43.6,0,23
Abdülkerim Bardakcı,True,miss,assisted,left-foot,24.4,34.6,0,19
Hakan Çalhanoğlu,True,miss,free-kick,right-foot,25.7,48.3,0,17
Daniel Bîrligea,False,block,assisted,left-foot,12.6,64.4,0,5
